# m1_detect	m2_detect	luminosity_dustance	cos_theta_jn	s1z	s2z
4.999695398681874536e+01 2.873289153345359992e+01 8.000670004951491592e+02 9.308743724950351295e-01 2.120757666973921984e-01 -6.603952292095006948e-02
4.201257597326627291e+01 2.930228059091187376e+01 6.360732929361337256e+02 5.727924051404402750e-01 1.884003398563538142e-02 -1.913390800621819765e-03
5.078755745882657635e+01 2.616516867275459646e+01 1.071175060740744584e+03 9.180775937089398209e-01 1.787183374066188268e-01 -4.120499084432310138e-02
4.684038782297436398e+01 2.913399719404160138e+01 1.117743254864863502e+03 9.475019365545044314e-01 -5.535163279461411540e-02 3.432014394953503689e-01
5.224726394011815245e+01 2.294217170259326721e+01 9.302220572125171429e+02 9.122336725741969632e-01 -7.775000248822436406e-03 -1.916912834019183359e-02
4.341213387041563720e+01 3.122108445640077079e+01 1.086404114885386434e+03 9.998687540434924026e-01 2.786068276550304409e-02 7.671032289674054039e-02
4.858280654738533144e+01 2.472096374879386715e+01 9.669711193092415442e+02 9.607486888541544312e-01 -9.185147830132912861e-02 1.686933805766307193e-01
5.406324726760001198e+01 2.591350039632965618e+01 9.414406489517402861e+02 8.370031385488510001e-01 1.171838782644735871e-01 3.326600231729947565e-01
4.120595587918067793e+01 3.441038116533434277e+01 9.475142692393532116e+02 7.042734858234267481e-01 -1.200088946408677665e-01 6.234537355712843620e-01
5.169478400442430654e+01 2.575442032168792750e+01 1.055181975386332624e+03 8.134695955205752949e-01 3.525521394640063755e-01 -5.158870078854802532e-01
5.100736566810110872e+01 2.630398102619527734e+01 1.006881004763480632e+03 8.496964674850775445e-01 1.569141561718586861e-02 5.183293901803098791e-01
3.983184856489928194e+01 3.489833128265779294e+01 7.869074075735927636e+02 7.113888572718090053e-01 1.073528445216074823e-01 1.176245092313541185e-01
4.262352032471675045e+01 3.402279561062545810e+01 1.154568822209439531e+03 9.871907731129005992e-01 3.160580655482408963e-02 4.671788272341703685e-01
4.174973835538129663e+01 3.356629709898317770e+01 1.218549977622865526e+03 9.584063417461052836e-01 1.605912105424651959e-01 1.323202484033294268e-01
4.630908507835368937e+01 2.613594083648226629e+01 8.132982880542291468e+02 6.670165218814048114e-01 4.844733137729761302e-02 -1.013840753098995372e-02
4.136114758773194211e+01 3.444890287192009026e+01 8.261187027551327446e+02 6.167375807684422062e-01 -2.481244231745975692e-01 6.977019753220126130e-01
4.169562743595935927e+01 3.113311248039799750e+01 7.618964108504358137e+02 6.313743215386425911e-01 -1.726083872342205894e-01 4.744249416221086868e-01
4.579907997130496966e+01 2.014165150265435500e+01 8.218364869479062236e+02 9.144414681391710431e-01 -4.008958253118924397e-01 -1.472673560136042725e-01
4.886851421206974067e+01 2.290885691961594262e+01 8.272780901280140142e+02 9.024574740940247697e-01 -1.877474197887297747e-01 1.625944178144793917e-01
4.234355914705955115e+01 3.167903074656378593e+01 1.013957093086905843e+03 7.909524466269702847e-01 9.829043550909165317e-02 -4.356482665821625327e-02
4.011753386047134740e+01 3.672302722742828962e+01 1.165321405057469519e+03 8.211894593235684603e-01 7.838417893577895867e-01 -4.757335756600818977e-01
4.898503276270962914e+01 2.501496877051313561e+01 1.015482258287870764e+03 9.262410792290385331e-01 -3.137015904295482188e-02 9.098590951768117940e-02
4.103087665587956678e+01 3.176735930921652695e+01 1.067784685575029016e+03 9.249022911095298172e-01 3.889043986410363751e-01 -5.536113259080572835e-01
5.453161747759354938e+01 1.977381446469653525e+01 9.007877603470608392e+02 9.091560858536423817e-01 -5.808890180987973800e-02 -3.548601765039433587e-01
4.221847590692398455e+01 3.411082368724685665e+01 6.695007088297686551e+02 4.958394307300785786e-01 1.408874740115520496e-01 2.765712237510397631e-01
5.068214755809045613e+01 2.252883841114493180e+01 8.786954347102555403e+02 8.867875726111489332e-01 -5.878276418828588812e-02 7.691445997308086688e-03
4.274831741179091438e+01 3.352897814349938699e+01 9.490555842155280288e+02 7.100970197311412546e-01 6.858764186713006694e-02 2.312574938580666817e-01
4.347479306737530891e+01 3.556986005130674755e+01 4.290089096633334975e+02 2.819244747315483579e-01 3.987469297461396778e-01 -1.958401752130483064e-01
3.836583420674273270e+01 3.380959104669457815e+01 8.292510772889929740e+02 5.920107676656636286e-01 1.754267090773951598e-01 -1.117431445711364046e-01
5.199576684668845417e+01 2.299991361825028235e+01 9.408445127302632045e+02 9.626273059777336050e-01 1.108918257324303241e-02 4.773463862713898942e-02
3.856422234444436015e+01 3.761606826562100991e+01 1.160914050614442431e+03 9.424540345521427165e-01 2.288541453991852215e-01 7.399807725949669734e-02
4.936157156958828551e+01 2.634925457548323990e+01 9.465316207669635560e+02 7.928607924445518762e-01 7.372552420562850095e-02 1.077666153784728742e-02
4.198102570416621404e+01 3.162892932010075953e+01 1.033346590411716761e+03 9.164353086294637629e-01 -5.015590341104864819e-02 2.345620798212199598e-01
4.955951355174262574e+01 2.874801591889350050e+01 1.082128926638221628e+03 9.693336494290264449e-01 2.654463805530145604e-01 -1.846101619619653356e-01
5.312778227714203894e+01 2.028029833281325622e+01 7.536106024208658027e+02 8.456747495442482609e-01 -1.519571960089118323e-01 -9.551499468673091409e-02
5.359505495696991062e+01 2.487083710502705358e+01 9.774615468951557204e+02 9.173429031266215894e-01 -4.514453039969090406e-03 4.360784183090314903e-01
4.244474318850966910e+01 3.616158348861547722e+01 1.025139190552271657e+03 7.507074361945411667e-01 1.748901173166104717e-01 3.020573649348682332e-01
3.823030729490486124e+01 3.407862218176466484e+01 9.804236683902669256e+02 8.189101517154208087e-01 2.375630378050073988e-01 -1.778874138800783933e-01
3.796394444228540266e+01 3.792106909632747858e+01 5.113160849957763503e+02 3.652348480669557196e-01 -2.725327256791694741e-01 5.336637933970238556e-01
3.882782640796351359e+01 3.641771005703933639e+01 6.307517617604936504e+02 4.801209961500591539e-01 1.549579835418876152e-02 2.783051503651404190e-01
4.395984422430290550e+01 3.219476565915874744e+01 8.517561037743658972e+02 6.450895095199176144e-01 -1.073507385331591568e-01 6.717429726243702159e-01
4.067330425555830686e+01 3.333017262132630520e+01 9.163616915222812622e+02 7.173953691848659053e-01 -2.187294233229175044e-01 5.719737670940032714e-01
5.098429661165732796e+01 2.675805643391435140e+01 1.140187948706371571e+03 9.388526656926637903e-01 -2.068854639082471844e-02 6.816843869978278514e-01
4.010513248999790648e+01 3.104816986325486994e+01 6.278586261504341337e+02 5.654351222059930127e-01 1.124273120551266738e-03 1.165326403525629856e-01
5.101025693309246378e+01 2.568583618238322330e+01 9.503153267483721720e+02 9.645408342361604381e-01 1.758828589653597396e-01 -2.007289440164271022e-01
4.227757681181839899e+01 3.214410544145272297e+01 8.679801946028935618e+02 6.809628805663472395e-01 -1.702306600331194020e-01 5.673226817557188717e-01
4.629421883455901821e+01 2.396195169219278753e+01 9.203671065751267406e+02 9.921303818775272232e-01 -4.216857289359129402e-01 5.582470703353442643e-01
4.433745690801662676e+01 2.956711154294766786e+01 1.156607738774961490e+03 8.694991246586822875e-01 1.973756160482788569e-01 -7.470976549700460156e-02
5.573401108973587270e+01 2.338585596638534980e+01 9.353994015180190900e+02 9.247762779000539002e-01 1.598071276143766817e-01 -1.819916306549743956e-01
3.986962791954938723e+01 3.290548846012547557e+01 1.152845109731470529e+03 9.531489329862821158e-01 8.581204893233947140e-02 1.611937652379985195e-02
4.615227461646024665e+01 2.877500077157487368e+01 1.123500703602007661e+03 9.134430662445645055e-01 3.164729732578866472e-01 -6.407520624129016129e-01
5.134997546568779825e+01 2.531326352063424778e+01 1.020071254437548760e+03 8.792917886054985033e-01 1.180619257037011371e-01 1.691862235346085425e-03
5.222077302575613800e+01 2.862106352731185765e+01 9.328164940723299878e+02 8.843177877531447351e-01 3.651093157721490012e-01 -7.752748874596486484e-02
4.239169762141188613e+01 3.543192695737538145e+01 1.084073768684968854e+03 7.900822979365261789e-01 4.537080933519472281e-01 -9.773800636981766488e-02
4.689160906889175351e+01 2.553514402360124080e+01 9.954855004051137257e+02 9.572270736839727512e-01 -2.352910927847644273e-01 4.287818547266779579e-01
4.928522966478957557e+01 2.759180347569542135e+01 7.516440155196218029e+02 8.874848221913642643e-01 1.464156687208375551e-01 -5.662351564890690143e-03
5.531691569900581129e+01 2.393169950302774041e+01 8.877367859625665005e+02 8.400765905975291492e-01 1.261412424324146464e-01 1.212949155899583492e-01
4.583588158004552326e+01 2.777058337648427866e+01 9.516112485474396863e+02 7.740356371772737498e-01 -2.195414897992295222e-01 6.528579452973154451e-01
4.007228808147038279e+01 3.913646050161369061e+01 9.883288894176628219e+02 6.923470707833381255e-01 -2.574550921316442476e-01 7.134850225122585377e-01
3.932763624990707285e+01 3.704385223934018256e+01 1.278190614078709359e+03 9.616294876540936176e-01 5.399460637546781017e-02 3.187021004621638509e-01
4.166633353344871438e+01 3.440718171243392476e+01 8.235344603976092230e+02 7.915451244645620443e-01 2.564431680348694398e-02 3.821437719738030037e-01
3.785575989994048030e+01 3.426658387687916729e+01 9.752144750700301756e+02 8.283342114625953378e-01 6.233574085284523392e-01 -6.928919341713561941e-01
3.991640053724754011e+01 3.438940679202916328e+01 1.039180971929816678e+03 8.943424955117378339e-01 4.686919909329961831e-02 1.793846237207447347e-01
4.684680226628883304e+01 3.178477485334111918e+01 1.125591099962361795e+03 8.237882977975954368e-01 2.470244818145228560e-01 7.369813997300944317e-03
3.970533503011374421e+01 3.504355208083757844e+01 8.636154547288400636e+02 6.875526605994661811e-01 -1.989349904115739753e-01 5.319278043002090284e-01
3.969136790300236584e+01 3.444682864060861505e+01 9.923716931626771611e+02 9.439685786121357891e-01 3.154934131174084722e-01 -3.267725910770314379e-01
3.779765625546802710e+01 3.383049563720122421e+01 9.050816618920573546e+02 7.169102587402276239e-01 4.356564051299540719e-01 -4.435969857886534751e-01
3.913035385868762717e+01 3.445046554337333333e+01 3.185944801350511284e+02 2.289793467369107272e-01 7.921088953063618043e-02 1.095333605410539479e-01
5.219596817484914197e+01 2.553231424992778997e+01 1.115971157699465721e+03 8.554881258542138545e-01 3.230767696404310968e-02 3.385939339988173757e-01
3.995040681257680149e+01 3.743008086582962335e+01 6.951188115271945662e+02 5.660831711935407906e-01 9.610921821839366053e-02 3.420589405098125035e-01
4.769574503694251177e+01 2.514461254523464362e+01 8.855900228903662992e+02 9.171843017446584811e-01 -3.157993248267630948e-01 7.390451150688607251e-01
5.476160801883071372e+01 2.272958876297579067e+01 1.071232075780148989e+03 9.623112772833827266e-01 9.651727699954326667e-02 1.873717231430487296e-01
5.446954304874828523e+01 2.534837866317517197e+01 1.055551674260738082e+03 8.687816228284204190e-01 2.381734820677350595e-01 -9.069253138263903835e-02
3.936066791616844540e+01 3.556457910458158267e+01 8.058543230133431052e+02 6.094490342305690644e-01 6.709462818173556053e-02 2.587498195730008610e-01
3.958530303480844736e+01 3.604586596425284029e+01 9.194021257742174384e+02 9.429464994729283012e-01 2.670056524242093721e-01 -3.349993470347258778e-02
3.773807399965370735e+01 3.388183797754286530e+01 4.911607526756386051e+02 6.077642990822080815e-01 4.186689860041476474e-01 -4.394180258981527643e-01
3.785047418623438631e+01 3.483662452845655366e+01 1.113572631820635706e+03 9.934165639272791726e-01 1.573261699841168038e-01 -7.009648876653545857e-02
5.128168733516986322e+01 2.270574826148105174e+01 8.563964544287151739e+02 8.744750965411827170e-01 6.798507279642057588e-02 -4.252846097497022804e-01
