# m1_detect	m2_detect	luminosity_dustance	cos_theta_jn	s1z	s2z
3.947780498940378635e+01 3.792455954707018151e+01 4.980426576251750248e+02 -9.282405329561753682e-01 2.816831930901850800e-01 -8.265530202290375522e-03
3.759561169049809592e+01 3.682101531206593847e+01 5.593110790192945387e+02 -9.634979104771903557e-01 2.569812603804308079e-02 1.136296361193031151e-01
3.852950493960756972e+01 3.554272479684046004e+01 3.957063790744510925e+02 -9.263231914579904691e-01 1.507620276679622895e-01 -4.035124588130146323e-02
4.431262096031442610e+01 2.756677513892980969e+01 1.533919978762808967e+02 -8.421567972166241417e-04 -3.408730084209331268e-02 -6.433350329825517078e-02
4.253986248943366633e+01 3.192975908637626858e+01 5.681908856487955291e+02 -9.789815679305466922e-01 -4.999777780437475450e-02 1.714990928426136096e-01
3.629719745466325520e+01 3.346465184377666446e+01 2.034539105050757257e+02 -1.251710805291076645e-01 -5.545066007610055525e-02 -4.322411664355845645e-02
4.120214881574425902e+01 3.027044017665797426e+01 4.935223233251953161e+02 -9.338881179981365355e-01 -2.300973311320575476e-01 2.055045900834934491e-01
4.047406137804016879e+01 3.122119608191788487e+01 4.543526455459219733e+02 -8.903107449925892203e-01 -2.268290260738907091e-02 -3.834550111136525441e-02
3.996156461905511037e+01 3.538746663414865168e+01 5.030017346899735458e+02 -9.037988935437432092e-01 -6.281977063993426924e-02 2.631285887269350088e-01
3.636209117911813848e+01 3.326983052301379473e+01 5.480722507280999025e+02 -9.513695940784406835e-01 -1.146266899627956248e-01 -1.122408688415017369e-01
4.170467166097825640e+01 3.285175112408644083e+01 4.427341153241992515e+02 -8.579307270726488355e-01 -1.519678941765131575e-01 3.365184196057204868e-01
3.921034230538194976e+01 3.430702514082239674e+01 5.891744646311567521e+02 -9.214487563131817938e-01 -7.747488498423164838e-02 1.320422364178022168e-01
3.753602543652414880e+01 3.606418050422126953e+01 4.983942616934402849e+02 -9.574116791083729927e-01 1.551413124407356181e-01 -1.555946084590559275e-01
3.777591969664901228e+01 3.174772738884108492e+01 4.645497401808971176e+02 -8.458659107726100856e-01 -6.667519566397432651e-02 -1.413169239803895305e-01
3.996176735732042573e+01 3.418800526744115587e+01 4.148387444916900222e+02 -9.711426428453406867e-01 3.845253166162229674e-03 1.160719688625344165e-01
3.855484768845728638e+01 3.402800035876758500e+01 4.167214915119270700e+02 -8.516416722106611159e-01 2.190543028519476802e-03 3.364648947896221941e-04
3.547057726940958844e+01 3.492332531787725003e+01 3.611370697076134206e+02 -9.986202765375036261e-01 1.812451005912801560e-01 -3.074891266293781622e-01
4.125627302819769682e+01 2.973404934828641899e+01 4.739519467575840395e+02 -7.960270963141891087e-01 -1.499298318046470013e-02 -1.715995878897979832e-01
3.855162357169947285e+01 3.334056110443908949e+01 3.598012633133307077e+02 -8.685977107326925406e-01 -6.151026644355422728e-03 -9.330547519232135212e-02
3.912152986035726343e+01 3.224541210415452497e+01 3.020986382785371234e+02 -2.504607111606902969e-01 -9.550481969491336764e-02 8.388640179709934419e-02
4.172092775381313601e+01 3.221726973230060764e+01 4.911129354496791848e+02 -9.674425690793853061e-01 1.208990152455073153e-03 1.248637986262983585e-01
4.098371315613582055e+01 3.020071112491969245e+01 5.201956844088722391e+02 -8.771711100105250569e-01 -9.132796281963205531e-02 -1.947660108513050298e-02
3.998573297760344047e+01 3.185564058406709265e+01 4.809335869268189754e+02 -7.706407928086964620e-01 -4.437318672245164630e-01 5.151830814775869571e-01
3.726496497383136131e+01 3.463174520021467373e+01 5.917853651127871899e+02 -9.352898387258522517e-01 -1.505064176256173947e-01 1.022352883108874066e-01
3.535337290337287897e+01 3.508845012593266688e+01 4.272012356049237383e+02 -9.562697964384249127e-01 -3.587873009856883399e-01 1.917614861352086586e-01
3.658260524530669500e+01 3.460296243565131391e+01 4.837402495438503252e+02 -9.024573367377285438e-01 2.808469520654127347e-02 -7.277180376348996171e-02
3.618474101141669763e+01 3.498098199741804848e+01 6.128245413388539191e+02 -9.704303688547982754e-01 1.460930984583005410e-01 -1.750943022542421623e-01
3.624658610759523469e+01 3.602262815717367062e+01 4.331178572754121205e+02 -6.434680715402327777e-01 1.286101910754985055e-02 1.239484016377775943e-02
4.111377947869058147e+01 3.196976795390764536e+01 3.452087136854784148e+02 -8.568725010108753093e-01 9.678551218161611513e-02 -7.171418156770215102e-02
4.164165684214517427e+01 2.895541086489815896e+01 5.532430180287614121e+02 -9.604185155313900157e-01 -4.862570098942591706e-02 -9.136711115680085094e-02
3.728671562066693923e+01 3.377219368758613882e+01 4.178505923259973542e+02 -6.321122492285682348e-01 1.862552875671975861e-01 -2.278818086336467097e-01
3.983769787203921453e+01 3.275684690480883177e+01 4.305161161380019621e+02 -7.854220678587697790e-01 -4.919560964085284427e-02 7.102249553564872475e-02
4.090636803689452705e+01 2.511660784831869719e+01 4.753955560878742972e+02 -9.622673339762563005e-01 -1.808492350967622064e-02 -6.985150577893595170e-01
3.889225845057566033e+01 3.481872395928485986e+01 4.547432083166391408e+02 -9.128411515707874901e-01 6.368235184878397181e-02 4.316443118391886935e-02
4.095869047004801899e+01 3.627974079092345505e+01 5.206786368722461020e+02 -9.839404115460753664e-01 1.173583589019387835e-01 2.669529618002485227e-01
3.597108451740195534e+01 3.568113115958438186e+01 3.533916983593078385e+02 -8.555107030303533699e-01 -1.626219176252053852e-02 -5.825845024854369586e-02
3.849620347496725259e+01 3.183473049937491339e+01 3.193885532784211136e+02 -5.444511727041119187e-01 1.684894673971525092e-01 -4.288929784399497236e-01
3.861726178366473050e+01 3.254805774865039325e+01 5.155787584570268791e+02 -9.954902133992248325e-01 -1.930919111072120636e-02 -1.420697098261819724e-01
3.829361024832471827e+01 3.410787192064435658e+01 4.402874955138076416e+02 -7.981214675163714745e-01 -2.952998302776805445e-03 4.606424818082189253e-03
3.531394011676164268e+01 3.462201182824648527e+01 5.206566137681090822e+02 -9.779481926266766489e-01 -2.842940340448414371e-01 1.273644251649244663e-01
3.777702196413180502e+01 3.073922589934416649e+01 3.501533745620575928e+02 -7.177899408860547448e-01 -7.058907448590692052e-03 -2.765392821698849923e-01
3.683900925030449258e+01 3.444581046408937652e+01 4.345336788388981404e+02 -7.919226297644952339e-01 9.707329830612893007e-02 -1.178918939365326268e-01
4.202963546456599175e+01 3.451245377983527618e+01 3.947423573140845292e+02 -9.367206364429780940e-01 2.128982620097840534e-02 2.666423659353998055e-01
4.048257713355800291e+01 3.342120959332784480e+01 4.403081309495721598e+02 -9.981899446750839289e-01 1.430181362816976276e-01 -3.001203395088354597e-02
4.029134280736821694e+01 3.450765893260446404e+01 2.864363563259537386e+02 -1.867438238035763476e-01 7.908517086473314250e-02 6.194866144480926096e-02
4.041240493289853219e+01 3.518740483182693168e+01 5.898744683544208556e+02 -9.710395991976109586e-01 8.132533554383719610e-02 8.522528058815558027e-02
3.864347407068505902e+01 3.517202841385571332e+01 5.068049169151280466e+02 -8.624841653973801536e-01 1.337697986503177949e-01 -3.770863822401756410e-02
